Iteration	Posterior	Likelihood	Prior	rate01	rate_log_sd	tree_length
0	-110.7015	-374.6019	263.9004	0.558077	1.510122	2.444332
6	-104.8092	-370.1263	265.3171	0.3506131	1.750327	1.583943
12	-121.9269	-385.3955	263.4685	0.1997859	1.623608	3.094177
18	-127.7244	-391.2163	263.4919	0.1604923	1.316661	3.335996
24	-122.9604	-383.94	260.9796	1.478181	1.337132	3.726775
30	-117.5484	-382.264	264.7156	0.1722079	1.772243	2.288478
36	-124.6829	-389.2708	264.5879	0.3079138	2.01471	1.97305
42	-109.4505	-373.4502	263.9997	0.3504926	1.482421	2.630319
48	-116.9127	-382.7603	265.8477	0.2581102	1.679165	1.39951
54	-117.5021	-383.1796	265.6775	0.4287917	2.044299	0.8939805
60	-100.1381	-365.7869	265.6488	0.4516935	1.874773	1.055395
66	-115.1322	-380.3597	265.2275	0.5938277	1.763229	1.318991
72	-103.3784	-368.6757	265.2973	0.5291815	2.314546	0.8201846
78	-109.2588	-375.3251	266.0664	0.2415631	1.989903	0.9764576
84	-123.1502	-387.706	264.5558	1.068307	2.333492	0.9038259
90	-118.8502	-384.2641	265.4139	0.4445383	2.34515	0.8145084
96	-121.589	-386.418	264.829	0.9567813	2.346133	0.6556478
102	-116.1898	-381.5033	265.3135	0.6464915	2.13703	0.8045649
108	-117.5312	-382.0265	264.4953	1.132741	2.324499	0.9143903
114	-110.1322	-373.2763	263.1441	0.787721	1.330407	2.831149
120	-133.7254	-398.6171	264.8918	1.025214	2.215904	0.6526338
126	-121.3597	-385.6552	264.2955	1.664935	2.013896	1.012936
132	-116.4611	-380.5324	264.0713	1.063652	1.985739	1.611177
138	-113.9277	-377.362	263.4343	2.424445	2.460811	0.9857649
144	-104.9846	-370.6555	265.6709	0.1583964	1.752431	1.693062
150	-99.21975	-364.908	265.6882	0.07686243	1.992391	1.740555
156	-104.6341	-369.9369	265.3027	0.2479451	1.829288	1.710416
162	-104.0125	-368.0151	264.0026	1.22466	1.770182	1.710416
168	-100.6804	-365.6719	264.9915	0.3707284	1.87988	1.695117
174	-110.3324	-373.8943	263.5619	2.19637	1.917226	1.444567
180	-95.59495	-360.1904	264.5955	0.9697837	2.097043	1.187117
186	-115.3189	-379.7028	264.3838	1.094412	2.16598	1.20508
192	-124.1956	-389.2616	265.066	0.6152794	2.183439	1.069092
198	-117.0079	-382.0097	265.0018	0.7605869	2.143334	0.9837244
204	-107.1984	-371.7604	264.562	1.260753	2.164067	0.8941477
210	-122.0787	-386.4173	264.3386	1.124503	2.179419	1.208477
216	-103.4687	-368.7286	265.2599	0.6458886	2.227863	0.7535986
222	-109.2523	-373.9266	264.6743	0.8533253	2.631846	0.4047373
228	-122.4065	-386.9481	264.5416	0.8741677	2.72848	0.381244
234	-115.1817	-379.5497	264.368	1.066242	2.72848	0.4315217
240	-120.9147	-385.0959	264.1812	1.438185	2.609904	0.5161435
246	-137.8009	-402.8195	265.0186	0.6042934	2.609904	0.5915825
252	-128.8848	-392.844	263.9591	1.733216	2.61437	0.5749677
258	-125.3202	-389.7774	264.4572	1.286826	2.443966	0.5749677
264	-141.3617	-406.0007	264.639	0.3976524	2.500137	1.459856
270	-124.1479	-388.7913	264.6434	0.9907803	2.477775	0.6930864
276	-115.4997	-378.7292	263.2294	3.449347	2.299471	0.9006403
282	-112.2198	-375.9676	263.7478	2.843041	2.078189	0.8436466
288	-109.4594	-373.1209	263.6615	2.260212	2.459681	0.8282454
294	-126.9123	-389.151	262.2387	1.5933	1.908261	2.587758
300	-127.479	-390.4268	262.9479	0.9208636	1.7692	2.590528
306	-127.3845	-390.4	263.0155	0.9851195	2.127931	2.280239
312	-116.5609	-378.9811	262.4203	1.454273	1.862339	2.566219
318	-122.2159	-385.6667	263.4509	1.454273	1.668616	2.030786
324	-120.8803	-384.3647	263.4844	2.879966	2.488986	0.5160636
330	-133.8758	-396.3346	262.4588	4.847356	2.803923	0.4088293
336	-118.5444	-382.5407	263.9964	1.235373	2.892847	0.3403392
342	-115.7063	-379.9316	264.2254	0.8860122	2.989965	0.3301343
348	-108.8797	-372.8527	263.9731	1.015879	2.989965	0.2502267
354	-113.4419	-377.2087	263.7668	1.226152	3.019017	0.2585658
360	-100.1788	-363.5634	263.3847	1.601445	3.019017	0.2168145
366	-102.1769	-365.7644	263.5874	1.601445	2.907245	0.2577087
372	-102.6485	-366.4188	263.7703	1.026269	3.142547	0.2316704
378	-113.547	-376.5658	263.0188	1.316094	3.305044	0.1379638
384	-114.6028	-376.9786	262.3757	2.023683	3.465194	0.1379638
390	-108.9721	-374.1788	265.2068	0.5805811	1.673486	1.421406
396	-114.8896	-379.349	264.4594	0.6144792	1.673486	1.920981
402	-111.6809	-375.8055	264.1246	1.180722	1.530552	1.819176
408	-119.0002	-384.0209	265.0207	0.6842789	1.751523	1.392456
414	-112.7932	-376.6286	263.8354	0.9787022	3.103057	0.2225542
420	-112.5827	-376.0758	263.4931	1.256808	3.1951	0.225119
426	-107.3257	-371.0178	263.6921	1.089613	3.097236	0.2071615
432	-107.7873	-371.0047	263.2174	1.244662	3.273165	0.1607847
